market,strategy,trades,total_return_pct,max_drawdown_pct,win_rate_pct,sharpe
KRW-ENA,rsi_reversion_30_55,53,-37.484795320751964,-50.19421274888132,34.96376811594203,-2.1700721277726878
KRW-ENA,bb_reversion_20_2,53,-31.499298246790573,-38.88585844766529,35.033259423503324,-1.869917493151326
KRW-ENA,breakout_close_k05,227,-53.190007206244715,-56.17003449958674,30.078125,-6.145291298943435
KRW-NEAR,sma_cross_20_80,20,7.616492139410069,-21.655644769920002,47.88507581803671,0.6729729795546128
KRW-NEAR,ema_cross_12_48,27,30.35445894632518,-17.813096295575214,48.585286984640256,1.7208078054647968
KRW-NEAR,trend_sma50_200,47,-4.512247152723647,-21.813791266514126,48.24191279887483,-0.10196736342600614
KRW-NEAR,donchian_20_10,38,2.146940419999255,-22.29070835839817,48.042328042328045,0.36966012006805427
KRW-NEAR,momentum_24_120,76,10.679942310455036,-18.01929714402678,47.24409448818898,0.8960587718168994
KRW-NEAR,rsi_reversion_30_55,53,0.132534296501996,-27.091838456716687,48.72549019607843,0.22429488310590132
KRW-NEAR,bb_reversion_20_2,62,14.857420989687164,-17.01974803654771,49.75609756097561,1.2011109754733624
KRW-NEAR,breakout_close_k05,283,-27.859853197392525,-30.534989486355602,45.614035087719294,-2.883821489170162
KRW-FLOCK,sma_cross_20_80,25,-31.443073351687357,-58.41528013629812,43.65853658536585,-0.7191897043888756
KRW-FLOCK,ema_cross_12_48,41,-37.641954333865215,-56.69248236107961,42.28295819935691,-0.9403887126136955
KRW-FLOCK,trend_sma50_200,56,-45.22590817765588,-58.40128706416051,40.11142061281337,-1.7750279866211809
KRW-FLOCK,donchian_20_10,41,-52.580860771666174,-66.80708087527837,41.69520547945205,-1.9222565028518612
KRW-FLOCK,momentum_24_120,109,-57.404266558515474,-67.18918162020945,39.499304589707926,-2.5134674348601713
KRW-FLOCK,rsi_reversion_30_55,48,-0.46788522600369475,-21.810344827586203,44.07364787111623,0.2782055343642189
KRW-FLOCK,bb_reversion_20_2,47,15.088873442144202,-21.489829150511486,44.903988183161005,1.0558177384937042
KRW-FLOCK,breakout_close_k05,303,-73.17735938896234,-75.11532638770791,31.30434782608696,-6.438777156514063
KRW-INJ,sma_cross_20_80,22,2.648743399470743,-32.75037442795266,47.46227709190672,0.4342679303427424
KRW-INJ,ema_cross_12_48,45,-24.85014807698458,-53.63246604607195,47.27272727272727,-0.9650139953030725
KRW-INJ,trend_sma50_200,55,-2.712028732493188,-26.925089824366143,48.852901484480434,0.1406863382268384
KRW-INJ,donchian_20_10,40,3.936500551042754,-40.31748223575449,49.01758014477766,0.49003124202323123
KRW-INJ,momentum_24_120,88,-25.77014278488752,-39.23720095386548,47.98331015299026,-1.3101517486474514
KRW-INJ,rsi_reversion_30_55,48,-1.3706018231858352,-31.464241386205728,46.81769147788565,0.24004812283297644
KRW-INJ,bb_reversion_20_2,57,37.911309413034935,-26.272264180159198,49.451887941534714,1.8110341650048862
KRW-INJ,breakout_close_k05,317,-57.358065017982995,-58.51118260161967,42.857142857142854,-5.786344550386181
KRW-XPL,sma_cross_20_80,22,5.151966029114208,-36.830088280536636,38.333333333333336,0.6515026580716154
KRW-XPL,ema_cross_12_48,33,12.983916879749358,-35.98505555385887,39.07766990291262,0.8628546551456394
KRW-XPL,trend_sma50_200,41,6.766465213832107,-36.325744341899465,41.65435745937962,0.6580706929255629
KRW-XPL,donchian_20_10,32,-9.294129379625138,-47.76682651789492,37.95066413662239,0.15932445020236416
KRW-XPL,momentum_24_120,73,-12.08439819204653,-42.67780249332199,39.73856209150327,0.034053412530843465
KRW-XPL,rsi_reversion_30_55,55,-32.29977801072735,-39.80040242693974,36.63967611336032,-1.38871679259828
KRW-XPL,bb_reversion_20_2,50,-30.67874208214294,-39.86403292902284,37.98256537982566,-1.4594783314567157
